LLM总参数量：25.932 百万
Epoch:[1/1](6900/106257) loss:2.085 lr:0.000054481575 epoch_Time:168.0min:
Epoch:[1/1](7000/106257) loss:2.252 lr:0.000054466493 epoch_Time:168.0min:
Epoch:[1/1](7100/106257) loss:2.062 lr:0.000054451198 epoch_Time:167.0min:
Epoch:[1/1](7200/106257) loss:2.045 lr:0.000054435688 epoch_Time:167.0min:
Epoch:[1/1](7300/106257) loss:2.209 lr:0.000054419966 epoch_Time:167.0min:
Epoch:[1/1](7400/106257) loss:2.199 lr:0.000054404029 epoch_Time:167.0min:
Epoch:[1/1](7500/106257) loss:2.106 lr:0.000054387880 epoch_Time:167.0min:
Epoch:[1/1](7600/106257) loss:2.116 lr:0.000054371517 epoch_Time:167.0min:
Epoch:[1/1](7700/106257) loss:2.117 lr:0.000054354941 epoch_Time:166.0min:
Epoch:[1/1](7800/106257) loss:2.257 lr:0.000054338152 epoch_Time:166.0min:
Epoch:[1/1](7900/106257) loss:2.194 lr:0.000054321150 epoch_Time:166.0min:
Epoch:[1/1](8000/106257) loss:2.094 lr:0.000054303936 epoch_Time:166.0min:
Epoch:[1/1](8100/106257) loss:2.190 lr:0.000054286510 epoch_Time:166.0min:
Epoch:[1/1](8200/106257) loss:2.309 lr:0.000054268871 epoch_Time:166.0min:
Epoch:[1/1](8300/106257) loss:2.161 lr:0.000054251020 epoch_Time:165.0min:
Epoch:[1/1](8400/106257) loss:1.997 lr:0.000054232957 epoch_Time:165.0min:
Epoch:[1/1](8500/106257) loss:2.167 lr:0.000054214682 epoch_Time:165.0min:
Epoch:[1/1](8600/106257) loss:2.110 lr:0.000054196195 epoch_Time:165.0min:
Epoch:[1/1](8700/106257) loss:1.937 lr:0.000054177497 epoch_Time:165.0min:
Epoch:[1/1](8800/106257) loss:2.226 lr:0.000054158588 epoch_Time:165.0min:
Epoch:[1/1](8900/106257) loss:2.128 lr:0.000054139467 epoch_Time:164.0min:
Epoch:[1/1](9000/106257) loss:2.121 lr:0.000054120136 epoch_Time:164.0min:
Epoch:[1/1](9100/106257) loss:2.162 lr:0.000054100593 epoch_Time:164.0min:
Epoch:[1/1](9200/106257) loss:2.114 lr:0.000054080840 epoch_Time:164.0min:
Epoch:[1/1](9300/106257) loss:2.083 lr:0.000054060877 epoch_Time:164.0min:
Epoch:[1/1](9400/106257) loss:2.011 lr:0.000054040703 epoch_Time:164.0min:
Epoch:[1/1](9500/106257) loss:2.108 lr:0.000054020319 epoch_Time:163.0min:
Epoch:[1/1](9600/106257) loss:2.119 lr:0.000053999725 epoch_Time:163.0min:
Epoch:[1/1](9700/106257) loss:2.098 lr:0.000053978921 epoch_Time:163.0min:
Epoch:[1/1](9800/106257) loss:2.017 lr:0.000053957907 epoch_Time:163.0min:
Epoch:[1/1](9900/106257) loss:2.078 lr:0.000053936685 epoch_Time:163.0min:
Epoch:[1/1](10000/106257) loss:2.093 lr:0.000053915252 epoch_Time:163.0min:
Epoch:[1/1](10100/106257) loss:1.996 lr:0.000053893611 epoch_Time:162.0min:
Epoch:[1/1](10200/106257) loss:2.168 lr:0.000053871761 epoch_Time:162.0min:
Epoch:[1/1](10300/106257) loss:2.057 lr:0.000053849702 epoch_Time:162.0min:
Epoch:[1/1](10400/106257) loss:2.108 lr:0.000053827435 epoch_Time:162.0min:
Epoch:[1/1](10500/106257) loss:2.086 lr:0.000053804960 epoch_Time:162.0min:
Epoch:[1/1](10600/106257) loss:2.017 lr:0.000053782276 epoch_Time:162.0min:
Epoch:[1/1](10700/106257) loss:2.149 lr:0.000053759385 epoch_Time:161.0min:
Epoch:[1/1](10800/106257) loss:2.149 lr:0.000053736286 epoch_Time:161.0min:
Epoch:[1/1](10900/106257) loss:2.227 lr:0.000053712979 epoch_Time:161.0min:
Epoch:[1/1](11000/106257) loss:2.134 lr:0.000053689465 epoch_Time:161.0min:
Epoch:[1/1](11100/106257) loss:2.166 lr:0.000053665744 epoch_Time:161.0min:
Epoch:[1/1](11200/106257) loss:2.138 lr:0.000053641816 epoch_Time:161.0min:
Epoch:[1/1](11300/106257) loss:2.020 lr:0.000053617681 epoch_Time:160.0min:
Epoch:[1/1](11400/106257) loss:2.127 lr:0.000053593340 epoch_Time:160.0min:
Epoch:[1/1](11500/106257) loss:2.142 lr:0.000053568793 epoch_Time:160.0min:
Epoch:[1/1](11600/106257) loss:2.054 lr:0.000053544040 epoch_Time:160.0min:
Epoch:[1/1](11700/106257) loss:2.169 lr:0.000053519081 epoch_Time:160.0min:
Epoch:[1/1](11800/106257) loss:2.175 lr:0.000053493916 epoch_Time:160.0min:
Epoch:[1/1](11900/106257) loss:2.209 lr:0.000053468546 epoch_Time:159.0min:
Epoch:[1/1](12000/106257) loss:2.218 lr:0.000053442971 epoch_Time:159.0min:
Epoch:[1/1](12100/106257) loss:2.061 lr:0.000053417191 epoch_Time:159.0min:
Epoch:[1/1](12200/106257) loss:2.017 lr:0.000053391206 epoch_Time:159.0min:
Epoch:[1/1](12300/106257) loss:2.119 lr:0.000053365017 epoch_Time:159.0min:
Epoch:[1/1](12400/106257) loss:2.141 lr:0.000053338623 epoch_Time:159.0min:
Epoch:[1/1](12500/106257) loss:2.069 lr:0.000053312026 epoch_Time:158.0min:
Epoch:[1/1](12600/106257) loss:2.213 lr:0.000053285224 epoch_Time:158.0min:
Epoch:[1/1](12700/106257) loss:2.135 lr:0.000053258219 epoch_Time:158.0min:
Epoch:[1/1](12800/106257) loss:2.095 lr:0.000053231011 epoch_Time:158.0min:
Epoch:[1/1](12900/106257) loss:2.050 lr:0.000053203600 epoch_Time:158.0min:
Epoch:[1/1](13000/106257) loss:2.017 lr:0.000053175986 epoch_Time:158.0min:
Epoch:[1/1](13100/106257) loss:2.237 lr:0.000053148169 epoch_Time:157.0min:
Epoch:[1/1](13200/106257) loss:2.205 lr:0.000053120150 epoch_Time:157.0min:
Epoch:[1/1](13300/106257) loss:2.077 lr:0.000053091929 epoch_Time:157.0min:
Epoch:[1/1](13400/106257) loss:2.269 lr:0.000053063506 epoch_Time:157.0min:
Epoch:[1/1](13500/106257) loss:2.067 lr:0.000053034881 epoch_Time:157.0min:
Epoch:[1/1](13600/106257) loss:2.171 lr:0.000053006055 epoch_Time:157.0min:
Epoch:[1/1](13700/106257) loss:2.083 lr:0.000052977028 epoch_Time:156.0min:
Epoch:[1/1](13800/106257) loss:2.130 lr:0.000052947800 epoch_Time:156.0min:
Epoch:[1/1](13900/106257) loss:2.143 lr:0.000052918372 epoch_Time:156.0min:
Epoch:[1/1](14000/106257) loss:1.992 lr:0.000052888743 epoch_Time:156.0min:
Epoch:[1/1](14100/106257) loss:2.113 lr:0.000052858914 epoch_Time:156.0min:
Epoch:[1/1](14200/106257) loss:2.022 lr:0.000052828885 epoch_Time:156.0min:
Epoch:[1/1](14300/106257) loss:2.026 lr:0.000052798657 epoch_Time:155.0min:
Epoch:[1/1](14400/106257) loss:2.036 lr:0.000052768229 epoch_Time:155.0min:
Epoch:[1/1](14500/106257) loss:2.118 lr:0.000052737603 epoch_Time:155.0min:
Epoch:[1/1](14600/106257) loss:2.203 lr:0.000052706777 epoch_Time:155.0min:
Epoch:[1/1](14700/106257) loss:2.083 lr:0.000052675753 epoch_Time:155.0min:
Epoch:[1/1](14800/106257) loss:1.994 lr:0.000052644531 epoch_Time:155.0min:
Epoch:[1/1](14900/106257) loss:2.140 lr:0.000052613111 epoch_Time:154.0min:
Epoch:[1/1](15000/106257) loss:2.107 lr:0.000052581493 epoch_Time:154.0min:
Epoch:[1/1](15100/106257) loss:1.986 lr:0.000052549678 epoch_Time:154.0min:
Epoch:[1/1](15200/106257) loss:2.155 lr:0.000052517666 epoch_Time:154.0min:
Epoch:[1/1](15300/106257) loss:2.152 lr:0.000052485457 epoch_Time:154.0min:
Epoch:[1/1](15400/106257) loss:2.161 lr:0.000052453051 epoch_Time:154.0min:
Epoch:[1/1](15500/106257) loss:2.207 lr:0.000052420449 epoch_Time:153.0min:
Epoch:[1/1](15600/106257) loss:2.070 lr:0.000052387651 epoch_Time:153.0min:
Epoch:[1/1](15700/106257) loss:2.129 lr:0.000052354658 epoch_Time:153.0min:
Epoch:[1/1](15800/106257) loss:2.088 lr:0.000052321469 epoch_Time:153.0min:
Epoch:[1/1](15900/106257) loss:2.174 lr:0.000052288085 epoch_Time:153.0min:
Epoch:[1/1](16000/106257) loss:2.224 lr:0.000052254506 epoch_Time:153.0min:
Epoch:[1/1](16100/106257) loss:2.132 lr:0.000052220732 epoch_Time:152.0min:
Epoch:[1/1](16200/106257) loss:2.159 lr:0.000052186765 epoch_Time:152.0min:
Epoch:[1/1](16300/106257) loss:2.123 lr:0.000052152603 epoch_Time:152.0min:
Epoch:[1/1](16400/106257) loss:2.135 lr:0.000052118247 epoch_Time:152.0min:
Epoch:[1/1](16500/106257) loss:2.037 lr:0.000052083699 epoch_Time:152.0min:
Epoch:[1/1](16600/106257) loss:2.012 lr:0.000052048957 epoch_Time:151.0min:
Epoch:[1/1](16700/106257) loss:2.222 lr:0.000052014023 epoch_Time:151.0min:
Epoch:[1/1](16800/106257) loss:2.031 lr:0.000051978896 epoch_Time:151.0min:
Epoch:[1/1](16900/106257) loss:2.151 lr:0.000051943577 epoch_Time:151.0min:
Epoch:[1/1](17000/106257) loss:2.057 lr:0.000051908066 epoch_Time:151.0min:
Epoch:[1/1](17100/106257) loss:2.127 lr:0.000051872363 epoch_Time:151.0min:
Epoch:[1/1](17200/106257) loss:2.071 lr:0.000051836470 epoch_Time:150.0min:
Epoch:[1/1](17300/106257) loss:2.195 lr:0.000051800385 epoch_Time:150.0min:
Epoch:[1/1](17400/106257) loss:2.080 lr:0.000051764110 epoch_Time:150.0min:
Epoch:[1/1](17500/106257) loss:2.188 lr:0.000051727645 epoch_Time:150.0min:
Epoch:[1/1](17600/106257) loss:2.052 lr:0.000051690990 epoch_Time:150.0min:
Epoch:[1/1](17700/106257) loss:2.029 lr:0.000051654145 epoch_Time:150.0min:
Epoch:[1/1](17800/106257) loss:2.221 lr:0.000051617111 epoch_Time:149.0min:
Epoch:[1/1](17900/106257) loss:2.131 lr:0.000051579888 epoch_Time:149.0min:
Epoch:[1/1](18000/106257) loss:2.050 lr:0.000051542476 epoch_Time:149.0min:
Epoch:[1/1](18100/106257) loss:2.089 lr:0.000051504876 epoch_Time:149.0min:
Epoch:[1/1](18200/106257) loss:2.218 lr:0.000051467088 epoch_Time:149.0min:
Epoch:[1/1](18300/106257) loss:2.016 lr:0.000051429113 epoch_Time:149.0min:
