LLM 总参数量: 26194432
LoRA 参数量: 262144
LoRA 参数占比: 1.00%
Epoch:[9/50](700/790) loss:1.798 lr:0.000051203544 epoch_Time:1.0min:
Epoch:[10/50](0/790) loss:1.641 lr:0.000051108198 epoch_Time:1.0min:
Epoch:[10/50](100/790) loss:1.673 lr:0.000051000991 epoch_Time:1.0min:
Epoch:[10/50](200/790) loss:1.705 lr:0.000050892454 epoch_Time:1.0min:
Epoch:[10/50](300/790) loss:1.616 lr:0.000050782597 epoch_Time:1.0min:
Epoch:[10/50](400/790) loss:1.747 lr:0.000050671425 epoch_Time:1.0min:
Epoch:[10/50](500/790) loss:1.692 lr:0.000050558945 epoch_Time:1.0min:
Epoch:[10/50](600/790) loss:1.774 lr:0.000050445164 epoch_Time:1.0min:
Epoch:[10/50](700/790) loss:1.793 lr:0.000050330091 epoch_Time:1.0min:
Epoch:[11/50](0/790) loss:1.633 lr:0.000050225425 epoch_Time:2.0min:
Epoch:[11/50](100/790) loss:1.665 lr:0.000050107914 epoch_Time:1.0min:
Epoch:[11/50](200/790) loss:1.699 lr:0.000049989131 epoch_Time:1.0min:
Epoch:[11/50](300/790) loss:1.608 lr:0.000049869084 epoch_Time:1.0min:
Epoch:[11/50](400/790) loss:1.740 lr:0.000049747780 epoch_Time:1.0min:
Epoch:[11/50](500/790) loss:1.685 lr:0.000049625227 epoch_Time:1.0min:
Epoch:[11/50](600/790) loss:1.768 lr:0.000049501433 epoch_Time:1.0min:
Epoch:[11/50](700/790) loss:1.788 lr:0.000049376405 epoch_Time:1.0min:
Epoch:[12/50](0/790) loss:1.626 lr:0.000049262831 epoch_Time:2.0min:
Epoch:[12/50](100/790) loss:1.659 lr:0.000049135481 epoch_Time:1.0min:
Epoch:[12/50](200/790) loss:1.693 lr:0.000049006920 epoch_Time:1.0min:
Epoch:[12/50](300/790) loss:1.602 lr:0.000048877158 epoch_Time:1.0min:
Epoch:[12/50](400/790) loss:1.733 lr:0.000048746201 epoch_Time:1.0min:
Epoch:[12/50](500/790) loss:1.678 lr:0.000048614058 epoch_Time:1.0min:
Epoch:[12/50](600/790) loss:1.762 lr:0.000048480738 epoch_Time:1.0min:
Epoch:[12/50](700/790) loss:1.784 lr:0.000048346248 epoch_Time:1.0min:
Epoch:[13/50](0/790) loss:1.619 lr:0.000048224216 epoch_Time:2.0min:
Epoch:[13/50](100/790) loss:1.652 lr:0.000048087529 epoch_Time:1.0min:
Epoch:[13/50](200/790) loss:1.689 lr:0.000047949698 epoch_Time:1.0min:
Epoch:[13/50](300/790) loss:1.596 lr:0.000047810731 epoch_Time:1.0min:
Epoch:[13/50](400/790) loss:1.727 lr:0.000047670638 epoch_Time:1.0min:
Epoch:[13/50](500/790) loss:1.672 lr:0.000047529427 epoch_Time:1.0min:
Epoch:[13/50](600/790) loss:1.757 lr:0.000047387108 epoch_Time:1.0min:
Epoch:[13/50](700/790) loss:1.780 lr:0.000047243688 epoch_Time:1.0min:
Epoch:[14/50](0/790) loss:1.614 lr:0.000047113678 epoch_Time:1.0min:
Epoch:[14/50](100/790) loss:1.647 lr:0.000046968193 epoch_Time:1.0min:
Epoch:[14/50](200/790) loss:1.685 lr:0.000046821636 epoch_Time:1.0min:
Epoch:[14/50](300/790) loss:1.591 lr:0.000046674014 epoch_Time:1.0min:
Epoch:[14/50](400/790) loss:1.721 lr:0.000046525338 epoch_Time:1.0min:
Epoch:[14/50](500/790) loss:1.666 lr:0.000046375616 epoch_Time:1.0min:
Epoch:[14/50](600/790) loss:1.753 lr:0.000046224859 epoch_Time:1.0min:
Epoch:[14/50](700/790) loss:1.777 lr:0.000046073075 epoch_Time:1.0min:
Epoch:[15/50](0/790) loss:1.608 lr:0.000045935600 epoch_Time:1.0min:
Epoch:[15/50](100/790) loss:1.642 lr:0.000045781892 epoch_Time:1.0min:
Epoch:[15/50](200/790) loss:1.681 lr:0.000045627187 epoch_Time:1.0min:
Epoch:[15/50](300/790) loss:1.586 lr:0.000045471492 epoch_Time:1.0min:
Epoch:[15/50](400/790) loss:1.716 lr:0.000045314820 epoch_Time:1.0min:
Epoch:[15/50](500/790) loss:1.661 lr:0.000045157178 epoch_Time:1.0min:
Epoch:[15/50](600/790) loss:1.748 lr:0.000044998578 epoch_Time:1.0min:
Epoch:[15/50](700/790) loss:1.774 lr:0.000044839028 epoch_Time:1.0min:
Epoch:[16/50](0/790) loss:1.603 lr:0.000044694631 epoch_Time:2.0min:
Epoch:[16/50](100/790) loss:1.637 lr:0.000044533307 epoch_Time:1.0min:
Epoch:[16/50](200/790) loss:1.677 lr:0.000044371064 epoch_Time:1.0min:
Epoch:[16/50](300/790) loss:1.582 lr:0.000044207912 epoch_Time:1.0min:
Epoch:[16/50](400/790) loss:1.711 lr:0.000044043861 epoch_Time:1.0min:
Epoch:[16/50](500/790) loss:1.656 lr:0.000043878921 epoch_Time:1.0min:
Epoch:[16/50](600/790) loss:1.744 lr:0.000043713104 epoch_Time:1.0min:
Epoch:[16/50](700/790) loss:1.771 lr:0.000043546419 epoch_Time:1.0min:
Epoch:[17/50](0/790) loss:1.599 lr:0.000043395670 epoch_Time:2.0min:
Epoch:[17/50](100/790) loss:1.632 lr:0.000043227366 epoch_Time:1.0min:
Epoch:[17/50](200/790) loss:1.674 lr:0.000043058225 epoch_Time:1.0min:
Epoch:[17/50](300/790) loss:1.578 lr:0.000042888259 epoch_Time:1.0min:
Epoch:[17/50](400/790) loss:1.707 lr:0.000042717477 epoch_Time:1.0min:
Epoch:[17/50](500/790) loss:1.652 lr:0.000042545891 epoch_Time:1.0min:
Epoch:[17/50](600/790) loss:1.741 lr:0.000042373511 epoch_Time:1.0min:
Epoch:[17/50](700/790) loss:1.768 lr:0.000042200348 epoch_Time:1.0min:
Epoch:[18/50](0/790) loss:1.595 lr:0.000042043842 epoch_Time:2.0min:
Epoch:[18/50](100/790) loss:1.628 lr:0.000041869222 epoch_Time:1.0min:
Epoch:[18/50](200/790) loss:1.671 lr:0.000041693852 epoch_Time:1.0min:
Epoch:[18/50](300/790) loss:1.574 lr:0.000041517742 epoch_Time:1.0min:
Epoch:[18/50](400/790) loss:1.702 lr:0.000041340903 epoch_Time:1.0min:
Epoch:[18/50](500/790) loss:1.648 lr:0.000041163347 epoch_Time:1.0min:
Epoch:[18/50](600/790) loss:1.738 lr:0.000040985085 epoch_Time:1.0min:
Epoch:[18/50](700/790) loss:1.765 lr:0.000040806128 epoch_Time:1.0min:
Epoch:[19/50](0/790) loss:1.591 lr:0.000040644482 epoch_Time:1.0min:
Epoch:[19/50](100/790) loss:1.625 lr:0.000040464236 epoch_Time:1.0min:
Epoch:[19/50](200/790) loss:1.669 lr:0.000040283328 epoch_Time:1.0min:
Epoch:[19/50](300/790) loss:1.571 lr:0.000040101770 epoch_Time:1.0min:
Epoch:[19/50](400/790) loss:1.699 lr:0.000039919572 epoch_Time:1.0min:
Epoch:[19/50](500/790) loss:1.645 lr:0.000039736747 epoch_Time:1.0min:
Epoch:[19/50](600/790) loss:1.735 lr:0.000039553307 epoch_Time:1.0min:
Epoch:[19/50](700/790) loss:1.763 lr:0.000039369262 epoch_Time:1.0min:
Epoch:[20/50](0/790) loss:1.587 lr:0.000039203114 epoch_Time:2.0min:
Epoch:[20/50](100/790) loss:1.621 lr:0.000039017953 epoch_Time:1.0min:
Epoch:[20/50](200/790) loss:1.666 lr:0.000038832221 epoch_Time:1.0min:
Epoch:[20/50](300/790) loss:1.568 lr:0.000038645931 epoch_Time:1.0min:
Epoch:[20/50](400/790) loss:1.695 lr:0.000038459093 epoch_Time:1.0min:
Epoch:[20/50](500/790) loss:1.641 lr:0.000038271721 epoch_Time:1.0min:
Epoch:[20/50](600/790) loss:1.732 lr:0.000038083825 epoch_Time:1.0min:
Epoch:[20/50](700/790) loss:1.761 lr:0.000037895418 epoch_Time:1.0min:
Epoch:[21/50](0/790) loss:1.584 lr:0.000037725425 epoch_Time:2.0min:
Epoch:[21/50](100/790) loss:1.618 lr:0.000037536079 epoch_Time:1.0min:
